Sleep 4 Weeks,Duration,Bedtime,Wake Time
May 9,6h 32min,21:42,4:26
May 8,5h 49min,22:19,4:10
May 7,5h 45min,21:50,3:35
May 6,--,--,--
May 5,7h 32min,22:32,6:37
May 4,3h 0min,3:22,6:25
May 3,8h 25min,22:44,7:24
May 2,4h 16min,23:48,4:05
May 1,5h 50min,21:21,3:15
Apr 30,5h 34min,21:52,3:57
Apr 29,8h 58min,21:59,7:04
Apr 28,7h 55min,21:28,6:26
Apr 27,6h 41min,23:43,6:25
Apr 26,8h 0min,20:42,4:57
Apr 25,7h 17min,21:46,5:19
Apr 24,9h 19min,20:56,6:41
Apr 23,5h 43min,21:25,3:09
Apr 22,6h 49min,21:34,4:34
Apr 21,9h 16min,21:31,7:09
Apr 20,7h 7min,22:02,5:39
Apr 19,6h 50min,21:22,4:23
Apr 18,8h 15min,21:56,6:44
Apr 17,5h 55min,21:26,3:21
Apr 16,7h 36min,20:53,5:41
Apr 15,6h 32min,0:09,6:44
Apr 14,5h 35min,22:58,4:50
Apr 13,8h 17min,22:09,6:47
Apr 12,--,--,--
