Sleep 4 Weeks,Duration,Bedtime,Wake Time
Aug 29,8h 33min,21:37,6:26
Aug 28,--,--,--
Aug 27,5h 32min,21:27,3:23
Aug 26,--,--,--
Aug 25,--,--,--
Aug 24,--,--,--
Aug 23,8h 26min,19:54,4:55
Aug 22,7h 26min,22:38,6:05
Aug 21,--,--,--
Aug 20,5h 11min,0:51,6:02
Aug 19,--,--,--
Aug 18,7h 13min,23:01,6:15
Aug 17,9h 5min,22:55,8:02
Aug 16,3h 2min,3:13,6:20
Aug 15,6h 19min,22:18,4:47
Aug 14,6h 47min,21:05,4:00
Aug 13,12h 17min,17:45,7:22
Aug 12,3h 56min,22:11,2:07
Aug 11,8h 24min,21:38,6:05
Aug 10,6h 35min,22:04,4:45
Aug 9,3h 12min,1:41,4:54
Aug 8,7h 23min,21:57,6:41
Aug 7,7h 13min,21:29,6:03
Aug 6,--,--,--
Aug 5,6h 44min,22:02,4:58
Aug 4,4h 34min,23:22,4:21
Aug 3,7h 0min,22:33,6:41
Aug 2,9h 30min,20:47,6:50
