Sleep 4 Weeks,Duration,Bedtime,Wake Time
Sep 26,7h 4min,21:25,4:32
Sep 25,7h 48min,22:07,5:57
Sep 24,6h 54min,21:15,4:11
Sep 23,7h 18min,22:23,5:46
Sep 22,7h 20min,21:40,5:13
Sep 21,--,--,--
Sep 20,7h 34min,21:11,4:56
Sep 19,7h 36min,22:15,5:59
Sep 18,8h 49min,21:26,6:23
Sep 17,--,--,--
Sep 16,4h 13min,2:05,6:30
Sep 15,7h 50min,21:48,5:50
Sep 14,8h 19min,21:51,6:26
Sep 13,5h 27min,0:54,6:26
Sep 12,8h 27min,22:05,6:43
Sep 11,6h 23min,0:34,7:05
Sep 10,--,--,--
Sep 9,3h 32min,3:27,6:59
Sep 8,5h 55min,23:00,5:00
Sep 7,5h 39min,23:25,5:05
Sep 6,6h 14min,22:49,5:17
Sep 5,6h 27min,21:17,3:50
Sep 4,5h 54min,22:29,5:43
Sep 3,8h 22min,22:07,6:56
Sep 2,6h 4min,22:05,4:23
Sep 1,5h 22min,23:27,4:56
Aug 31,7h 5min,21:51,5:03
Aug 30,6h 7min,22:12,4:24
