Sleep 4 Weeks,Duration,Bedtime,Wake Time
Jan 16,--,--,--
Jan 15,--,--,--
Jan 14,--,--,--
Jan 13,--,--,--
Jan 12,6h 19min,0:24,6:45
Jan 11,--,--,--
Jan 10,6h 26min,22:05,4:32
Jan 9,6h 17min,0:17,6:36
Jan 8,9h 42min,20:48,6:43
Jan 7,6h 29min,22:53,5:24
Jan 6,8h 52min,21:46,7:19
Jan 5,6h 24min,22:12,4:37
Jan 4,5h 32min,22:29,4:20
Jan 3,6h 40min,23:13,5:53
Jan 2,8h 27min,21:40,6:33
Jan 1,3h 58min,3:40,7:39
Dec 31,8h 6min,21:52,6:12
Dec 30,2h 45min,2:00,5:05
Dec 29,8h 54min,21:24,6:24
Dec 28,7h 52min,22:21,6:30
Dec 27,7h 1min,21:46,5:01
Dec 26,9h 20min,20:31,6:17
Dec 25,8h 3min,22:10,6:21
Dec 24,6h 27min,23:08,5:45
Dec 23,8h 51min,20:55,5:53
Dec 22,6h 30min,21:04,3:46
Dec 21,5h 9min,23:30,5:06
Dec 20,8h 6min,21:43,5:57
