Sleep 4 Weeks,Duration,Bedtime,Wake Time
Mar 14,7h 52min,21:21,6:04
Mar 13,6h 13min,21:50,4:04
Mar 12,8h 51min,21:27,6:18
Mar 11,--,--,--
Mar 10,7h 16min,22:18,5:41
Mar 9,9h 19min,22:12,7:41
Mar 8,8h 51min,21:25,7:06
Mar 7,6h 24min,22:47,5:25
Mar 6,--,--,--
Mar 5,7h 51min,21:49,5:48
Mar 4,7h 28min,20:36,4:08
Mar 3,6h 32min,22:56,5:46
Mar 2,6h 39min,21:22,4:12
Mar 1,5h 31min,21:43,3:24
Feb 28,10h 31min,20:24,7:01
Feb 27,7h 18min,21:32,5:21
Feb 26,5h 42min,23:25,5:07
Feb 25,--,--,--
Feb 24,--,--,--
Feb 23,10h 45min,18:48,5:38
Feb 22,4h 59min,23:10,4:09
Feb 21,7h 44min,18:31,2:25
Feb 20,5h 24min,19:30,1:00
Feb 19,7h 24min,0:15,9:06
Feb 18,7h 35min,21:42,5:41
Feb 17,7h 50min,21:23,5:17
Feb 16,10h 15min,21:30,7:59
Feb 15,--,--,--
