Sleep 4 Weeks,Duration,Bedtime,Wake Time
Feb 14,5h 17min,20:45,2:20
Feb 13,8h 9min,21:43,6:58
Feb 12,6h 48min,23:36,6:35
Feb 11,6h 29min,21:57,4:33
Feb 10,6h 34min,23:17,5:53
Feb 9,8h 34min,22:19,6:58
Feb 8,8h 54min,22:01,7:40
Feb 7,6h 25min,22:06,4:49
Feb 6,6h 27min,21:55,4:32
Feb 5,7h 6min,21:36,4:46
Feb 4,6h 17min,21:38,4:01
Feb 3,7h 28min,21:54,5:25
Feb 2,5h 46min,21:14,3:22
Feb 1,6h 48min,22:10,5:10
Jan 31,6h 49min,23:43,7:25
Jan 30,6h 47min,22:15,6:03
Jan 29,6h 9min,21:38,3:49
Jan 28,--,--,--
Jan 27,8h 33min,21:43,6:45
Jan 26,7h 41min,22:40,6:26
Jan 25,8h 58min,21:09,7:00
Jan 24,8h 17min,21:27,6:06
Jan 23,6h 27min,21:19,3:53
Jan 22,8h 3min,21:41,5:57
Jan 21,6h 4min,22:10,4:17
Jan 20,6h 56min,21:44,4:59
Jan 19,4h 46min,23:33,4:24
Jan 18,--,--,--
