Sleep 4 Weeks,Duration,Bedtime,Wake Time
Aug 1,4h 38min,22:04,4:10
Jul 31,6h 8min,22:28,4:36
Jul 30,6h 17min,22:34,4:52
Jul 29,--,--,--
Jul 28,8h 3min,21:42,6:01
Jul 27,5h 33min,23:05,4:47
Jul 26,6h 1min,22:11,5:51
Jul 25,--,--,--
Jul 24,5h 58min,23:01,6:05
Jul 23,6h 25min,22:10,4:38
Jul 22,--,--,--
Jul 21,--,--,--
Jul 20,--,--,--
Jul 19,7h 10min,22:47,5:59
Jul 18,7h 18min,22:48,6:23
Jul 17,8h 6min,22:12,6:21
Jul 16,7h 53min,21:11,5:35
Jul 15,6h 20min,22:02,4:22
Jul 14,--,--,--
Jul 13,3h 25min,2:11,5:36
Jul 12,8h 12min,22:14,6:44
Jul 11,5h 39min,1:45,7:24
Jul 10,--,--,--
Jul 9,5h 56min,0:37,6:34
Jul 8,7h 38min,21:33,5:31
Jul 7,7h 57min,21:06,5:11
Jul 6,5h 39min,21:23,3:06
Jul 5,8h 31min,22:38,7:51
