Sleep 4 Weeks,Duration,Bedtime,Wake Time
Jul 4,5h 25min,23:56,5:21
Jul 3,10h 23min,20:32,7:24
Jul 2,3h 6min,4:08,7:14
Jul 1,5h 27min,0:38,6:05
Jun 30,5h 36min,22:57,4:38
Jun 29,6h 15min,23:18,5:34
Jun 28,7h 48min,23:39,7:43
Jun 27,--,--,--
Jun 26,8h 6min,21:56,6:13
Jun 25,7h 24min,21:41,5:17
Jun 24,7h 46min,22:13,6:00
Jun 23,6h 53min,21:33,4:26
Jun 22,4h 16min,23:44,4:05
Jun 21,5h 52min,22:39,4:31
Jun 20,--,--,--
Jun 19,7h 12min,22:10,6:13
Jun 18,5h 54min,22:32,4:41
Jun 17,--,--,--
Jun 16,4h 40min,22:58,3:46
Jun 15,5h 42min,22:54,4:45
Jun 14,5h 9min,1:49,7:18
Jun 13,6h 9min,22:06,4:16
Jun 12,7h 55min,21:15,5:20
Jun 11,7h 9min,22:08,5:55
Jun 10,--,--,--
Jun 9,8h 10min,21:47,6:06
Jun 8,8h 7min,21:48,6:26
Jun 7,7h 58min,21:29,5:56
