Sleep 4 Weeks,Duration,Bedtime,Wake Time
Apr 11,9h 40min,21:34,7:17
Apr 10,8h 11min,21:30,6:36
Apr 9,6h 51min,21:56,6:10
Apr 8,8h 48min,20:27,6:06
Apr 7,10h 20min,20:35,7:51
Apr 6,6h 7min,21:14,3:23
Apr 5,--,--,--
Apr 4,--,--,--
Apr 3,6h 47min,21:15,4:10
Apr 2,7h 15min,21:16,5:39
Apr 1,7h 6min,21:33,6:03
Mar 31,7h 14min,21:33,6:13
Mar 30,6h 36min,22:04,4:53
Mar 29,9h 39min,20:51,7:10
Mar 28,9h 50min,21:38,7:37
Mar 27,6h 35min,23:31,6:13
Mar 26,5h 58min,23:22,5:23
Mar 25,--,--,--
Mar 24,--,--,--
Mar 23,10h 15min,21:55,8:25
Mar 22,5h 19min,22:11,3:33
Mar 21,7h 53min,21:49,6:26
Mar 20,--,--,--
Mar 19,--,--,--
Mar 18,6h 5min,22:41,4:47
Mar 17,6h 24min,23:16,6:26
Mar 16,--,--,--
Mar 15,5h 36min,22:31,4:07
