Sleep 4 Weeks,Duration,Bedtime,Wake Time
Jun 6,8h 29min,21:51,6:25
Jun 5,7h 52min,21:51,5:59
Jun 4,8h 8min,21:36,5:56
Jun 3,--,--,--
Jun 2,6h 29min,23:03,5:36
Jun 1,7h 18min,21:21,4:45
May 31,4h 57min,21:47,3:04
May 30,5h 36min,23:07,4:53
May 29,7h 30min,21:36,5:18
May 28,--,--,--
May 27,--,--,--
May 26,--,--,--
May 25,6h 57min,18:31,2:02
May 24,--,--,--
May 23,7h 28min,21:38,5:16
May 22,7h 29min,22:12,6:37
May 21,7h 40min,21:27,6:22
May 20,--,--,--
May 19,7h 37min,21:46,5:26
May 18,7h 13min,22:46,6:00
May 17,6h 9min,22:41,5:06
May 16,--,--,--
May 15,6h 26min,21:48,4:14
May 14,7h 3min,21:21,5:32
May 13,5h 28min,21:44,3:22
May 12,4h 56min,22:22,3:19
May 11,8h 42min,21:57,7:17
May 10,--,--,--
