Sleep 4 Weeks,Duration,Bedtime,Wake Time
Dec 19,4h 38min,22:50,3:30
Dec 18,8h 44min,22:06,7:10
Dec 17,8h 53min,22:00,7:11
Dec 16,6h 28min,23:31,6:00
Dec 15,7h 46min,21:17,5:31
Dec 14,7h 25min,22:09,5:37
Dec 13,7h 3min,23:25,6:30
Dec 12,7h 33min,22:39,6:16
Dec 11,3h 37min,1:24,5:11
Dec 10,7h 5min,0:03,8:30
Dec 9,8h 19min,20:57,5:25
Dec 8,7h 17min,22:17,7:03
Dec 7,7h 14min,23:34,7:35
Dec 6,9h 15min,21:41,7:01
Dec 5,8h 14min,21:48,6:03
Dec 4,7h 46min,21:30,5:36
Dec 3,8h 53min,21:30,8:23
Dec 2,7h 29min,23:13,7:12
Dec 1,7h 52min,22:21,6:30
Nov 30,7h 49min,22:16,7:00
Nov 29,3h 56min,21:18,1:30
Nov 28,6h 23min,22:58,5:30
Nov 27,7h 56min,21:48,6:20
Nov 26,5h 50min,1:56,7:49
Nov 25,6h 30min,1:18,8:17
Nov 24,6h 28min,22:47,5:45
Nov 23,8h 17min,21:30,6:01
Nov 22,7h 57min,21:00,6:25
