Sleep 4 Weeks,Duration,Bedtime,Wake Time
Nov 21,8h 33min,22:03,6:37
Nov 20,--,--,--
Nov 19,--,--,--
Nov 18,8h 46min,22:28,7:39
Nov 17,--,--,--
Nov 16,8h 12min,22:18,6:35
Nov 15,7h 16min,21:46,5:31
Nov 14,7h 54min,21:51,5:57
Nov 13,8h 37min,21:12,5:57
Nov 12,5h 50min,0:39,6:29
Nov 11,9h 23min,21:12,7:03
Nov 10,7h 50min,23:19,7:21
Nov 9,6h 4min,22:46,4:51
Nov 8,5h 55min,23:43,5:58
Nov 7,7h 14min,0:29,7:43
Nov 6,8h 32min,21:52,6:42
Nov 5,7h 50min,22:44,6:42
Nov 4,6h 34min,0:08,6:55
Nov 3,4h 26min,21:22,1:49
Nov 2,5h 48min,0:06,5:58
Nov 1,4h 52min,0:12,5:04
Oct 31,7h 9min,23:09,6:20
Oct 30,6h 27min,23:48,6:35
Oct 29,7h 23min,2:06,9:38
Oct 28,7h 17min,22:32,5:57
Oct 27,6h 42min,23:50,6:32
Oct 26,--,--,--
Oct 25,6h 43min,23:06,6:14
