Sleep 4 Weeks,Duration,Bedtime,Wake Time
Oct 24,6h 58min,21:51,6:00
Oct 23,3h 40min,1:36,5:17
Oct 22,7h 3min,21:24,4:27
Oct 21,8h 51min,22:12,7:12
Oct 20,6h 47min,23:38,6:26
Oct 19,8h 9min,20:59,5:15
Oct 18,7h 22min,22:54,6:19
Oct 17,10h 1min,21:01,7:46
Oct 16,8h 36min,22:22,7:02
Oct 15,6h 18min,0:09,6:31
Oct 14,6h 50min,23:53,7:00
Oct 13,6h 47min,23:50,6:38
Oct 12,--,--,--
Oct 11,4h 50min,1:52,6:43
Oct 10,7h 58min,22:55,7:11
Oct 9,--,--,--
Oct 8,--,--,--
Oct 7,8h 48min,21:22,6:41
Oct 6,6h 10min,0:21,6:31
Oct 5,5h 43min,2:10,7:54
Oct 4,6h 28min,0:41,7:10
Oct 3,4h 50min,2:24,7:15
Oct 2,5h 12min,1:07,6:20
Oct 1,8h 33min,21:14,5:48
Sep 30,5h 5min,1:43,7:11
Sep 29,5h 46min,1:03,6:49
Sep 28,6h 51min,21:32,4:46
Sep 27,7h 58min,21:57,6:12
