Date_2024,Duration,Bedtime,WakeTime
Aug 29,8h 33min,21:37,6:26
Aug 28,--,--,--
Aug 27,5h 32min,21:27,3:23
Aug 26,--,--,--
Aug 25,--,--,--
Aug 24,--,--,--
Aug 23,8h 26min,19:54,4:55
Aug 22,7h 26min,22:38,6:05
Aug 21,--,--,--
Aug 20,5h 11min,0:51,6:02
Aug 19,--,--,--
Aug 18,7h 13min,23:01,6:15
Aug 17,9h 5min,22:55,8:02
Aug 16,3h 2min,3:13,6:20
Aug 15,6h 19min,22:18,4:47
Aug 14,6h 47min,21:05,4:00
Aug 13,12h 17min,17:45,7:22
Aug 12,3h 56min,22:11,2:07
Aug 11,8h 24min,21:38,6:05
Aug 10,6h 35min,22:04,4:45
Aug 9,3h 12min,1:41,4:54
Aug 8,7h 23min,21:57,6:41
Aug 7,7h 13min,21:29,6:03
Aug 6,--,--,--
Aug 5,6h 44min,22:02,4:58
Aug 4,4h 34min,23:22,4:21
Aug 3,7h 0min,22:33,6:41
Aug 2,9h 30min,20:47,6:50
Sep 26,7h 4min,21:25,4:32
Sep 25,7h 48min,22:07,5:57
Sep 24,6h 54min,21:15,4:11
Sep 23,7h 18min,22:23,5:46
Sep 22,7h 20min,21:40,5:13
Sep 21,--,--,--
Sep 20,7h 34min,21:11,4:56
Sep 19,7h 36min,22:15,5:59
Sep 18,8h 49min,21:26,6:23
Sep 17,--,--,--
Sep 16,4h 13min,2:05,6:30
Sep 15,7h 50min,21:48,5:50
Sep 14,8h 19min,21:51,6:26
Sep 13,5h 27min,0:54,6:26
Sep 12,8h 27min,22:05,6:43
Sep 11,6h 23min,0:34,7:05
Sep 10,--,--,--
Sep 9,3h 32min,3:27,6:59
Sep 8,5h 55min,23:00,5:00
Sep 7,5h 39min,23:25,5:05
Sep 6,6h 14min,22:49,5:17
Sep 5,6h 27min,21:17,3:50
Sep 4,5h 54min,22:29,5:43
Sep 3,8h 22min,22:07,6:56
Sep 2,6h 4min,22:05,4:23
Sep 1,5h 22min,23:27,4:56
Aug 31,7h 5min,21:51,5:03
Aug 30,6h 7min,22:12,4:24
Jan 16,--,--,--
Jan 15,--,--,--
Jan 14,--,--,--
Jan 13,--,--,--
Jan 12,6h 19min,0:24,6:45
Jan 11,--,--,--
Jan 10,6h 26min,22:05,4:32
Jan 9,6h 17min,0:17,6:36
Jan 8,9h 42min,20:48,6:43
Jan 7,6h 29min,22:53,5:24
Jan 6,8h 52min,21:46,7:19
Jan 5,6h 24min,22:12,4:37
Jan 4,5h 32min,22:29,4:20
Jan 3,6h 40min,23:13,5:53
Jan 2,8h 27min,21:40,6:33
Jan 1,3h 58min,3:40,7:39
Dec 31,8h 6min,21:52,6:12
Dec 30,2h 45min,2:00,5:05
Dec 29,8h 54min,21:24,6:24
Dec 28,7h 52min,22:21,6:30
Dec 27,7h 1min,21:46,5:01
Dec 26,9h 20min,20:31,6:17
Dec 25,8h 3min,22:10,6:21
Dec 24,6h 27min,23:08,5:45
Dec 23,8h 51min,20:55,5:53
Dec 22,6h 30min,21:04,3:46
Dec 21,5h 9min,23:30,5:06
Dec 20,8h 6min,21:43,5:57
Mar 14,7h 52min,21:21,6:04
Mar 13,6h 13min,21:50,4:04
Mar 12,8h 51min,21:27,6:18
Mar 11,--,--,--
Mar 10,7h 16min,22:18,5:41
Mar 9,9h 19min,22:12,7:41
Mar 8,8h 51min,21:25,7:06
Mar 7,6h 24min,22:47,5:25
Mar 6,--,--,--
Mar 5,7h 51min,21:49,5:48
Mar 4,7h 28min,20:36,4:08
Mar 3,6h 32min,22:56,5:46
Mar 2,6h 39min,21:22,4:12
Mar 1,5h 31min,21:43,3:24
Feb 28,10h 31min,20:24,7:01
Feb 27,7h 18min,21:32,5:21
Feb 26,5h 42min,23:25,5:07
Feb 25,--,--,--
Feb 24,--,--,--
Feb 23,10h 45min,18:48,5:38
Feb 22,4h 59min,23:10,4:09
Feb 21,7h 44min,18:31,2:25
Feb 20,5h 24min,19:30,1:00
Feb 19,7h 24min,0:15,9:06
Feb 18,7h 35min,21:42,5:41
Feb 17,7h 50min,21:23,5:17
Feb 16,10h 15min,21:30,7:59
Feb 15,--,--,--
Aug 1,4h 38min,22:04,4:10
Jul 31,6h 8min,22:28,4:36
Jul 30,6h 17min,22:34,4:52
